1000;3;dummy
195588;1;MainField_Item_Fruit_A_1641432141
408334;1;GodTree_Finish
528092;1;MainField_Enemy_Lizalfos_Junior_1163152111
528605;1;MainField_DgnObj_DungeonEntranceSP_Far_1792025272
543937;1;StolenBook_SpeechBalloon_NPC007_4
624044;1;MainField_Item_Mushroom_J_1916643352
795765;1;MainField_Item_Plant_O_2949142884
857791;1;MainField_Enemy_Golem_Little_Fire_1073978275
1020268;1;MainField_Item_Mushroom_A_526977815
1036656;1;MainField_Item_Fruit_I_815506843
1038449;1;AncientLabo_AncientDoctor001_Wait
1117240;1;HutagoHatago_Ch_001_HorseGet
1122853;1;MainField_Enemy_Bokoblin_Middle_3879433600
1270473;1;MainField_Item_Mushroom_E_2520711399
1335390;1;IsPlayed_Demo600_0
1527530;1;MainField_Item_Plant_O_1827097623
1646786;1;MainField_Obj_LiftRockWhite_A_01_2266131630
1871228;1;IsGet_Item_Enemy_18
1890409;1;Active_RemainsFireBefore
1954815;1;MainField_Obj_Mineral_C_01_717474499
2079643;1;Npc_Road_016_DispNameFlag
2205052;1;MainField_Animal_Fish_E_510599402
2230341;1;MainField_Animal_Hawk_A_438361153
2304095;1;MainField_TBox_Field_Iron_286295037
2428122;3;EquipTime_Armor_196_Head
2602996;1;IsNewPictureBook_Weapon_Spear_007
2621500;1;MainField_Animal_Fish_G_2839598193
2660976;1;MainField_Enemy_Bokoblin_Middle_996452146
2705454;1;Dungeon039_SmallKey04
2750848;1;MainField_Item_RoastFish_01_2956902675
2765726;1;CDungeon_TBox_Dungeon_Stone_1223731997
2772922;1;IsGet_Item_Mushroom_N_00
2898854;1;IsNewPictureBook_Weapon_Lsword_024
2906973;1;MainField_Npc_HiddenKorokGround_3148789636
2914959;1;MainField_Enemy_Bokoblin_Guard_Junior_2708071169
2993876;1;MainField_Item_Plant_E_4073570490
3099861;1;MainField_KibakoZora_Contain_01_639087407
3129746;1;MainField_Item_Material_04_444830219
3261836;1;MainField_Animal_RupeeRabbit_A_2462742580
3357479;1;MainField_Enemy_Sandworm_494020159
3406377;1;MainField_Obj_FireWoodBundle_1265957682
3431129;1;MainField_Animal_Insect_E_1773509585
3440236;1;MainField_TBox_Field_Iron_2218727311
3523394;1;ShieldofKolog_Ready
3539625;1;IsPlayed_Demo040_0
3798046;1;MainField_Enemy_Octarock_Forest_3983126891
